900,410,236,740,453,972
711,947,331,85,117,170
526,826,187,586,434,616
351,769,535,819,402,817
650,766,218,809,651,81
891,322,85,241,854,993
507,927,956,932,552,465
138,283,765,327,52,958
390,400,847,12,614,961
973,832,38,996,963,765
427,506,442,945,295,840
675,740,931,532,396,880
705,975,677,345,926,205
144,584,377,242,891,78
34,129,800,494,977,397
135,173,73,125,70,459
932,24,699,779,711,19
670,699,260,319,752,89
790,285,266,391,234,246
636,642,551,16,795,602
948,522,76,832,995,43
123,430,212,646,648,403
902,357,109,141,392,821
860,755,636,171,665,505
761,618,529,464,753,25
715,569,504,328,919,566
999,220,352,892,303,622
751,321,40,860,750,392
879,361,635,60,147,814
575,848,596,984,419,635
780,160,722,112,883,69
552,825,701,435,854,937
786,219,69,423,458,449
53,157,101,474,176,738
3,254,168,810,952,261
924,139,4,22,525,391
687,162,695,969,207,727
635,328,11,586,956,928
388,263,237,517,775,652
946,338,291,23,473,764
16,902,611,566,347,822
204,872,565,999,14,701
694,906,309,978,844,711
651,178,201,352,77,820
560,52,153,584,700,603
890,578,423,769,644,186
895,419,927,423,133,460
0,755,977,331,332,522
149,77,563,127,944,955
598,744,434,141,340,902
751,575,264,740,343,937
381,740,228,758,590,455
746,426,963,430,158,796
242,939,638,620,635,259
604,422,619,976,524,566
950,726,845,829,47,622
464,391,60,489,108,65
389,416,377,742,809,428
474,281,423,265,146,830
528,937,349,982,669,679
413,335,660,17,732,708
805,116,393,217,622,374
482,546,887,103,427,286
582,593,570,28,216,827
687,563,178,681,696,245
301,814,676,427,67,262
266,773,166,922,820,789
226,864,558,501,779,153
758,7,159,603,639,248
39,509,976,625,477,926
209,940,670,841,682,942
660,948,739,579,468,524
852,948,344,444,447,956
916,902,821,609,352,379
804,657,34,579,410,433
626,900,903,609,99,337
652,959,42,3,43,474
240,363,936,933,213,567
848,392,572,42,30,8
892,131,137,354,316,621
467,489,120,867,454,490
952,426,53,378,520,405
477,277,404,439,78,529
361,740,318,405,265,623
243,921,407,404,311,39
199,972,313,711,848,179
477,266,925,618,882,413
942,997,904,615,298,508
230,586,30,571,992,560
156,741,512,751,441,180
159,671,456,636,184,554
845,764,356,106,381,736
634,148,728,273,914,429
446,41,85,488,424,630
560,224,926,852,387,421
213,432,734,155,29,342
664,219,129,959,64,973
874,489,571,787,929,532
244,208,141,241,900,183
640,208,750,964,116,937
106,215,291,541,145,636
779,359,272,863,662,324
963,10,283,599,971,7
986,416,733,926,269,261
34,92,379,17,342,892
754,542,19,482,659,809
3,665,926,977,447,400
309,273,9,589,840,576
519,349,558,332,762,509
628,944,875,862,622,185
497,318,868,516,279,855
871,998,959,766,406,692
302,351,793,743,184,624
526,402,476,414,664,718
84,343,811,291,565,495
4,381,168,195,132,485
195,170,843,283,657,928
380,303,127,718,894,825
866,611,409,802,423,630
707,945,862,248,652,133
506,296,2,173,365,370
846,24,803,647,710,290
777,278,119,647,393,391
471,525,151,577,173,903
915,146,562,273,990,869
520,35,675,700,890,535
921,133,493,322,484,977
980,221,294,72,224,699
349,620,428,730,100,261
809,47,514,496,367,273
963,445,166,154,218,193
283,822,696,67,605,640
818,617,322,225,477,424
248,162,949,550,8,806
963,746,991,665,81,568
518,578,620,273,997,965
316,892,106,240,598,234
30,881,395,936,209,476
664,909,29,544,745,338
257,866,783,530,869,857
392,631,531,969,115,712
891,668,17,343,962,744
74,138,767,352,202,751
830,908,555,746,600,55
849,833,29,488,966,484
355,450,41,416,511,343
385,38,446,182,682,35
422,693,379,883,386,807
949,34,315,448,505,213
391,627,282,688,47,429
841,859,582,129,397,653
298,179,565,10,413,665
160,49,665,33,589,26
893,797,310,958,815,452
713,868,726,302,93,608
490,158,701,884,497,504
134,148,500,460,348,860
898,529,571,169,576,62
235,276,391,913,54,654
467,148,635,676,416,198
334,41,919,973,650,472
206,343,491,681,753,379
938,354,651,675,584,962
652,519,310,823,453,900
959,887,166,904,636,66
264,193,810,663,871,629
680,476,996,276,739,667
317,156,452,624,174,521
533,283,492,110,239,827
541,714,773,747,232,977
706,535,61,626,881,490
806,474,488,172,90,859
622,943,368,65,83,161
183,54,416,923,252,6
805,459,817,760,934,263
759,792,835,83,671,346
